Provider,URL,Protocols,Filtering,DNSSEC,NoLogging,Upstream,Comment
skrep.eu,https://dns.skrep.eu/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,自有,"OpenNIC，广告过滤"
Slinkyman.net,https://dns.slinkyman.net/dns-query,"DoH, DoT",广告过滤,No,未知,Cloudflare,"使用Cloudflare上游"
SmartGuard,https://dns.smartguard.io/dns-query,"DoH, DoT",无过滤,No,未知,自有,"可自定义策略和过滤"
Startup Stack,https://dns.startupstack.tech/dns-query,"DoH, DoT",无过滤,No,未知,未知,
SZ DNS,https://doh.sz-dns.com/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,自有,广告过滤
stirringphoto.com,https://dns.stirringphoto.com/dns-query,"DoH, DoT",无过滤,No,未知,未知,
Surfshark DNS,https://dns.surfsharkdns.com/dns-query,"DoH, DoT, DoQ",无过滤,No,未知,未知,
Sunet DNS,https://resolver.sunet.se/dns-query,"DoH, DoT",无过滤,No,未知,未知,
Switch,https://dns.switch.ch/dns-query,"DoH, DoT","成人内容过滤, 赌博过滤",No,未知,自有,"色情和赌博拦截"
t53.de,https://dns.t53.de/dns-query,"DoH, DoT",无过滤,No,未知,未知,
Telekom Deutschland,https://dns.telekom.de/dns-query,"DoH, DoT",无过滤,No,未知,未知,
TipsyCoffee,https://dns.tipsy.coffee/dns-query,"DoH, DoT","广告过滤, 赌博过滤",No,未知,自有,"广告和赌博拦截"
Tls-data.de,https://dns.tls-data.de/dns-query,DoH,无过滤,No,未知,未知,
Tiarap,https://doh.tiar.app/dns-query,DoH,"广告过滤, 恶意软件, 钓鱼",Yes,是,自有,"无日志，DNSSEC验证，无ECS"
UncensoredDNS,https://anycast.uncensoreddns.org/dns-query,"DoH, DoT, DoQ",无过滤,No,未知,自有,无过滤版本
unx.io,https://dns.unx.io/dns-query,"DoH, DoT",广告过滤,No,未知,Cloudflare,"使用Cloudflare上游"
Usable Privacy,https://adfree.usableprivacy.net/dns-query,"DoH, DoT",广告过滤,No,未知,自有,广告过滤
v.recipes,https://v.recipes/dns-query,DoH,无过滤,No,未知,自有,"Anycast网络，DoH3"
v.recipes,https://v.recipes/dns-adblock,DoH,广告过滤,No,未知,自有,广告拦截版本
v.recipes,https://v.recipes/dns-ecs,DoH,无过滤,No,未知,自有,"ECS优化版本"
vaioswolke.xyz,https://dns.vaioswolke.xyz/dns-query,DoH,无过滤,No,未知,未知,
VIA,https://doh.viatech.com.tw/dns-query,DoH,广告过滤,No,未知,Cloudflare,"使用Cloudflare上游"
v0dka.ru,https://v0dka.ru/dns-query,DoH,无过滤,No,是,自有,"俄罗斯，无日志，无过滤"
waringer-atg.de,https://abel.waringer-atg.de/dns-query,DoH,无过滤,No,未知,未知,
Wikimedia DNS,https://wikimedia-dns.org/dns-query,"DoH, DoT",无过滤,Yes,未知,自有,"无过滤，QNAME最小化，DNSSEC"
W3C TAG,https://dns.w3ctag.org/dns-query,"DoH, DoT",无过滤,No,未知,未知,
YunZheng LAB DNS,https://dns.yunzheng.space/dns-query,"DoH, DoT, DoQ",无过滤,Yes,是,自有,"Anycast，DNSSEC，无日志"
YunZheng LAB DNS,https://filter.dns.yunzheng.space/dns-query,"DoH, DoT, DoQ","广告过滤, 跟踪器, 恶意软件",Yes,是,自有,"过滤版本"
zdn.ro,https://zdn.ro/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,Cloudflare,"使用Cloudflare上游，AdGuard"
4NetGuides,https://ns2.4netguides.org/dns-query,"DoH, DoT",广告过滤,No,未知,自有,广告过滤
@null31,https://ibuki.cgnat.net/dns-query,"DoH, DoT",无过滤,Yes,是,自有,"巴西，无日志，Oracle Cloud"
@publicarray dns.seby.io,https://doh.seby.io/dns-query,"DoH, DoT",无过滤,Yes,是,自有,"澳大利亚，OpenNIC，无日志"
